n,f(n)
1,2.0
2,-1.0
3,1.0
4,-0.5
5,0.6666666666666666
6,-0.3333333333333333
7,0.5
8,-0.25
9,0.4
10,-0.2
11,0.3333333333333333
12,-0.16666666666666666
13,0.2857142857142857
14,-0.14285714285714285
15,0.25
16,-0.125
17,0.2222222222222222
18,-0.1111111111111111
19,0.2
20,-0.1
21,0.18181818181818182
22,-0.09090909090909091
23,0.16666666666666666
24,-0.08333333333333333
25,0.15384615384615385
26,-0.07692307692307693
27,0.14285714285714285
28,-0.07142857142857142
29,0.13333333333333333
30,-0.06666666666666667
31,0.125
32,-0.0625
33,0.11764705882352941
34,-0.058823529411764705
35,0.1111111111111111
36,-0.05555555555555555
37,0.10526315789473684
38,-0.05263157894736842
39,0.1
40,-0.05
41,0.09523809523809523
42,-0.047619047619047616
43,0.09090909090909091
44,-0.045454545454545456
45,0.08695652173913043
46,-0.043478260869565216
47,0.08333333333333333
48,-0.041666666666666664
49,0.08
50,-0.04
51,0.07692307692307693
52,-0.038461538461538464
53,0.07407407407407407
54,-0.037037037037037035
55,0.07142857142857142
56,-0.03571428571428571
57,0.06896551724137931
58,-0.034482758620689655
59,0.06666666666666667
60,-0.03333333333333333
61,0.06451612903225806
62,-0.03225806451612903
63,0.0625
64,-0.03125
65,0.06060606060606061
66,-0.030303030303030304
67,0.058823529411764705
68,-0.029411764705882353
69,0.05714285714285714
70,-0.02857142857142857
71,0.05555555555555555
72,-0.027777777777777776
73,0.05405405405405406
74,-0.02702702702702703
75,0.05263157894736842
76,-0.02631578947368421
77,0.05128205128205128
78,-0.02564102564102564
79,0.05
80,-0.025
81,0.04878048780487805
82,-0.024390243902439025
83,0.047619047619047616
84,-0.023809523809523808
85,0.046511627906976744
86,-0.023255813953488372
87,0.045454545454545456
88,-0.022727272727272728
89,0.044444444444444446
90,-0.022222222222222223
91,0.043478260869565216
92,-0.021739130434782608
93,0.0425531914893617
94,-0.02127659574468085
95,0.041666666666666664
96,-0.020833333333333332
97,0.04081632653061224
98,-0.02040816326530612
99,0.04
100,-0.02
101,0.0392156862745098
102,-0.0196078431372549
103,0.038461538461538464
104,-0.019230769230769232
105,0.03773584905660377
106,-0.018867924528301886
107,0.037037037037037035
108,-0.018518518518518517
109,0.03636363636363636
110,-0.01818181818181818
111,0.03571428571428571
112,-0.017857142857142856
113,0.03508771929824561
114,-0.017543859649122806
115,0.034482758620689655
116,-0.017241379310344827
117,0.03389830508474576
118,-0.01694915254237288
119,0.03333333333333333
120,-0.016666666666666666
121,0.03278688524590164
122,-0.01639344262295082
123,0.03225806451612903
124,-0.016129032258064516
125,0.031746031746031744
126,-0.015873015873015872
127,0.03125
128,-0.015625
129,0.03076923076923077
130,-0.015384615384615385
131,0.030303030303030304
132,-0.015151515151515152
133,0.029850746268656716
134,-0.014925373134328358
